Quantify Compound Summary Report 

Printed Tue Aug 20 12:15:31 2019

Compound 1:  PFBA

	Name	Sample Text	RT	Area	Primary Flags	IS Area	Conc.	%Dev	Vial	Std. Conc	(b/a)	S/N	Pk Width	Pk Kurt	Pk Skew	Pk Sigma	Height	Peak Start Time	Peak End Time	1º Ratio (Actual)	%Rec	Type
1	AED-0031514-PFAS-18Jul19-001	CV1 - 2 ng/ mL	1.060	1902	bb	7528	3.06		1:15		1.22	62	8.359	-0.030	-0.006	19.185	12798	0.876	1.286			Analyte
2	AED-0031514-PFAS-18Jul19-002	CV1 - 2 ng/ mL	1.052	1830	bb	8411	2.63		1:15		1.02	41	9.059	-0.155	-0.129	21.302	11875	0.841	1.270			Analyte
3	AED-0031514-PFAS-18Jul19-003	blank	1.122	4	bb	4			1:44		1.63	10	1.790	0.206	0.431	5.655	82	1.079	1.196			Analyte
4	AED-0031514-PFAS-18Jul19-004	Natural SW 500 ml R1, 10 ng IS	1.083	160	bb	959	2.03		1:17		1.09	46	6.632	-0.311	0.043	9.687	1695	0.985	1.192			Analyte
5	AED-0031514-PFAS-18Jul19-005	Natural SW 500 ml R1, 10 ng IS	1.087	101	bb	1130	1.09		1:17		1.19	7	5.560	-0.149	0.212	9.199	1193	0.997	1.196			Analyte
6	AED-0031514-PFAS-18Jul19-006	blank	0.809	2	bb	1			1:44		0.59	3	3.107	-0.113	-0.531	8.893	41	0.708	0.872			Analyte
7	AED-0031514-PFAS-18Jul19-007	Natural SW 500 ml R2, 10 ng IS	1.075	132	MM	1068	1.50		1:18		2.00	28	4.246	1.485	0.941	9.651	1658	0.993	1.239			Analyte
8	AED-0031514-PFAS-18Jul19-008	Natural SW 500 ml R2, 10 ng IS	1.067	112	bb	1138	1.20		1:18		1.15	25	4.893	-0.197	0.015	8.305	1437	0.985	1.165			Analyte
9	AED-0031514-PFAS-18Jul19-009	blank	1.161	7	bb	5			1:44		1.01	12	2.964	-0.631	0.021	5.216	154	1.118	1.208			Analyte
10	AED-0031514-PFAS-18Jul19-010	Natural SW 500 ml R3, 10 ng IS	1.087	163	bb	1251	1.58		1:19		1.84	27	4.099	0.595	0.751	11.422	1765	0.981	1.282			Analyte
11	AED-0031514-PFAS-18Jul19-011	Natural SW 500 ml R3, 10 ng IS	1.079	128	bb	1236	1.27		1:19		1.79	20	4.912	0.092	0.689	14.045	1171	0.974	1.271			Analyte
12	AED-0031514-PFAS-18Jul19-012	blank	1.118	8	bd	0			1:44		0.42	8	0.873	-0.512	-0.404	5.288	158	1.056	1.145			Analyte
13	AED-0031514-PFAS-18Jul19-013	Natural SW 1L R1, 10 ng IS	1.059	208	MM	783	3.21		1:20		2.64	31	4.070	1.216	0.892	12.822	2017	0.974	1.286			Analyte
14	AED-0031514-PFAS-18Jul19-014	Natural SW 1L R1, 10 ng IS	1.067	171	bb	923	2.25		1:20		1.87	57	5.456	0.574	0.759	11.079	1826	0.981	1.228			Analyte
15	AED-0031514-PFAS-18Jul19-015	blank	0.864	3	db	1			1:44		1.09	6	3.031	-0.509	-0.044	4.946	64	0.821	0.915			Analyte
16	AED-0031514-PFAS-18Jul19-016	Natural SW 1L R2, 10 ng IS	1.071	211	bb	909	2.81		1:21		1.29	29	5.145	0.425	0.527	12.952	2105	0.938	1.247			Analyte
17	AED-0031514-PFAS-18Jul19-017	Natural SW 1L R2, 10 ng IS	1.075	98	bb	886	1.35		1:21		0.71	13	3.699	-0.142	-0.259	7.735	1489	0.985	1.142			Analyte
18	AED-0031514-PFAS-18Jul19-018	blank	1.333	7	bb	1			1:44		0.60	6	1.893	0.213	-0.690	10.495	103	1.212	1.407			Analyte
19	AED-0031514-PFAS-18Jul19-019	Natural SW 1L R3, 10 ng IS	1.056	216	bb	798	3.27		1:22		1.61	15	4.036	-0.138	0.489	12.378	2171	0.954	1.220			Analyte
20	AED-0031514-PFAS-18Jul19-020	Natural SW 1L R3, 10 ng IS	1.064	192	MM	841	2.77		1:22		1.00	20	6.002	-0.251	0.281	10.464	1903	0.958	1.169			Analyte
21	AED-0031514-PFAS-18Jul19-021	blank	1.251	1	bb	0			1:44		0.40	1	3.109	-0.728	-0.360	9.635	16	1.145	1.294			Analyte
22	AED-0031514-PFAS-18Jul19-022	Natural SW 2L R1, 10 ng IS	1.083	117	bb	440	6.42		1:23		1.43	22	4.419	0.469	0.482	9.711	1505	0.993	1.216			Analyte
23	AED-0031514-PFAS-18Jul19-023	Natural SW 2L R1, 10 ng IS	1.075	157	bb	433	8.71		1:23		1.17	10	4.540	-0.051	0.383	12.319	1563	0.942	1.231			Analyte
24	AED-0031514-PFAS-18Jul19-024	blank	1.173	3	bb	1			1:44		1.18	10	3.219	0.155	0.270	5.972	72	1.114	1.243			Analyte
25	AED-0031514-PFAS-18Jul19-025	Natural SW 2L R2, 10 ng IS	1.091	157	bb	460	8.22		1:24		0.66	62	4.358	-0.083	-0.275	9.598	1795	0.962	1.177			Analyte
26	AED-0031514-PFAS-18Jul19-026	Natural SW 2L R2, 10 ng IS	1.075	106	MM	533	4.78		1:24		1.92	12	6.439	-0.297	0.604	14.728	930	0.982	1.255			Analyte
27	AED-0031514-PFAS-18Jul19-027	blank	0.903	3	bb	2			1:44		1.22	2	3.605	-0.024	0.110	6.042	63	0.849	0.974			Analyte
28	AED-0031514-PFAS-18Jul19-028	Natural SW 2L R3, 10 ng IS	1.067	108	bb	495	5.28		1:25		1.08	24	3.818	0.432	0.356	9.776	1376	0.954	1.192			Analyte
29	AED-0031514-PFAS-18Jul19-029	Natural SW 2L R3, 10 ng IS	1.071	108	bb	582	4.47		1:25		1.54	28	3.722	0.724	0.755	12.581	1229	0.970	1.231			Analyte
30	AED-0031514-PFAS-18Jul19-030	blank	0.942	4	bb	5			1:44		0.90	12	2.419	0.830	-0.586	7.772	73	0.845	1.032			Analyte
31	AED-0031514-PFAS-18Jul19-031	pH adj SW 500ml R1, 10 ng IS	1.064	359	bb	2938	1.49		1:26		1.79	30	4.794	0.896	0.749	12.986	3660	0.954	1.263			Analyte
32	AED-0031514-PFAS-18Jul19-032	pH adj SW 500ml R1, 10 ng IS	1.079	342	bb	3097	1.35		1:26		1.17	52	4.299	-0.375	0.179	11.311	3530	0.974	1.204			Analyte
33	AED-0031514-PFAS-18Jul19-033	blank	1.017	9	bd	1			1:44		0.97	6	2.759	-0.507	0.091	4.922	182	0.970	1.064			Analyte
34	AED-0031514-PFAS-18Jul19-034	CV2 - 20 ng/ mL	1.036	16587	bb	6673	29.87		1:16		0.85	95	7.372	-0.401	-0.358	25.240	108008	0.786	1.251			Analyte
35	AED-0031514-PFAS-18Jul19-035	CV2 - 20 ng/ mL	1.036	20155	MM	7805	31.03		1:16		2.08	221	6.777	0.344	0.383	19.183	125252	0.888	1.345			Analyte
36	AED-0031514-PFAS-18Jul19-036	blank	1.040	9	dd	4			1:44		1.19	28	1.803	-1.114	0.011	5.268	145	1.009	1.079			Analyte
37	AED-0031514-PFAS-18Jul19-037	pH adj SW 500ml R2, 10 ng IS	1.079	339	bb	2703	1.53		1:27		1.27	25	5.423	0.164	0.366	13.850	3043	0.938	1.259			Analyte
38	AED-0031514-PFAS-18Jul19-038	pH adj SW 500ml R2, 10 ng IS	1.075	369	bb	2915	1.54		1:27		1.48	62	4.480	0.462	0.618	11.794	3905	0.962	1.247			Analyte
39	AED-0031514-PFAS-18Jul19-039	blank	1.118	14	bb	4			1:44		1.88	34	3.251	1.053	0.683	6.672	275	1.067	1.216			Analyte
40	AED-0031514-PFAS-18Jul19-040	pH adj SW 500ml R3, 10 ng IS	1.095	386	bb	3089	1.52		1:28		0.85	163	6.303	0.711	-0.100	13.025	3605	0.923	1.243			Analyte
41	AED-0031514-PFAS-18Jul19-041	pH adj SW 500ml R3, 10 ng IS	1.079	356	bb	3197	1.36		1:28		1.62	21	4.251	1.223	0.868	13.483	4037	0.962	1.270			Analyte
42	AED-0031514-PFAS-18Jul19-042	blank	0.810	6	bd	9			1:44		1.37	5	3.170	0.697	0.583	6.703	104	0.747	0.896			Analyte
43	AED-0031514-PFAS-18Jul19-043	pH adj SW 1L R1, 10 ng IS	1.067	693	bb	3157	2.66		1:29		0.93	103	4.823	0.859	-0.019	12.498	7532	0.911	1.216			Analyte
44	AED-0031514-PFAS-18Jul19-044	pH adj SW 1L R1, 10 ng IS	1.063	810	bb	3059	3.20		1:29		1.78	72	4.858	1.690	0.934	12.914	8441	0.950	1.270			Analyte
45	AED-0031514-PFAS-18Jul19-045	blank	1.337	10	bb	4			1:44		1.12	12	3.218	-0.309	0.141	5.844	184	1.282	1.399			Analyte
46	AED-0031514-PFAS-18Jul19-046	pH adj SW 1L R2, 10 ng IS	1.063	776	bb	3085	3.04		1:30		1.68	36	4.449	0.975	0.576	15.655	7079	0.915	1.313			Analyte
47	AED-0031514-PFAS-18Jul19-047	pH adj SW 1L R2, 10 ng IS	1.063	642	bb	3211	2.42		1:30		1.56	82	6.304	0.480	0.618	11.838	6374	0.958	1.231			Analyte
48	AED-0031514-PFAS-18Jul19-048	blank	1.040	4	bb	0			1:44		1.19	6	2.818	-0.630	0.046	6.450	77	0.993	1.099			Analyte
49	AED-0031514-PFAS-18Jul19-049	pH adj SW 1L R3, 10 ng IS	1.075	636	bb	2805	2.74		1:31		1.70	65	4.719	0.826	0.847	13.022	6731	0.962	1.270			Analyte
50	AED-0031514-PFAS-18Jul19-050	pH adj SW 1L R3, 10 ng IS	1.063	568	bb	2846	2.42		1:31		1.51	104	4.707	1.025	0.788	13.867	5261	0.915	1.290			Analyte
51	AED-0031514-PFAS-18Jul19-051	blank	1.263	11	bb	9			1:44		0.55	38	3.231	1.211	-0.827	8.415	170	1.138	1.333			Analyte
52	AED-0031514-PFAS-18Jul19-052	pH adj SW 2L R1, 10 ng IS	1.079	526	bb	2118	5.99		1:32		1.29	28	5.826	0.748	0.443	16.440	4649	0.915	1.294			Analyte
53	AED-0031514-PFAS-18Jul19-053	pH adj SW 2L R1, 10 ng IS	1.071	517	bb	2041	6.10		1:32		1.75	21	4.852	0.841	0.729	13.879	5561	0.958	1.270			Analyte
54	AED-0031514-PFAS-18Jul19-054	blank	1.317	8	bb	1			1:44		0.81	5	3.108	-0.418	-0.023	4.972	169	1.263	1.364			Analyte
55	AED-0031514-PFAS-18Jul19-055	pH adj SW 2L R2, 10 ng IS	1.298	493	bb	1476	8.05		1:33		1.15	29	6.385	-0.298	0.050	12.032	4981	1.192	1.419			Analyte
56	AED-0031514-PFAS-18Jul19-056	pH adj SW 2L R2, 10 ng IS	1.091	541	MM	1550	8.40		1:33		1.29	25	4.930	-0.186	0.302	12.099	5099	0.997	1.212			Analyte
57	AED-0031514-PFAS-18Jul19-057	blank	1.345	11	bb	1			1:44		0.98	4	2.031	-0.473	0.056	4.901	242	1.298	1.392			Analyte
